Percentile,Medicaid,Medicare,Medicare+Medicaid,CHIP,Military,Direct Purchase,Employer,Other,Uninsured,Subsidized Exchange,type,year,,Medicaid,Medicare,Medicare+Medicaid,CHIP,Military,Direct Purchase,Employer,Other,Uninsured,Subsidized Exchange
32,0.187,0.129,0.021,0.026,0.025,0.035,0.337,0.026,0.212,0,smoothed,2009,,0.0187,0.0129,0.0021,0.0026,0.0025,0.0035,0.0337,0.0026,0.0212,0
33,0.171,0.134,0.02,0.024,0.029,0.035,0.351,0.027,0.209,0,smoothed,2009,,0.0171,0.0134,0.002,0.0024,0.0029,0.0035,0.0351,0.0027,0.0209,0
34,0.168,0.137,0.018,0.027,0.031,0.039,0.352,0.028,0.201,0,smoothed,2009,,0.0168,0.0137,0.0018,0.0027,0.0031,0.0039,0.0352,0.0028,0.0201,0
35,0.158,0.14,0.019,0.022,0.029,0.04,0.361,0.026,0.205,0,smoothed,2009,,0.0158,0.014,0.0019,0.0022,0.0029,0.004,0.0361,0.0026,0.0205,0
36,0.159,0.141,0.016,0.025,0.026,0.046,0.364,0.024,0.199,0,smoothed,2009,,0.0159,0.0141,0.0016,0.0025,0.0026,0.0046,0.0364,0.0024,0.0199,0
37,0.148,0.136,0.014,0.02,0.023,0.048,0.378,0.024,0.208,0,smoothed,2009,,0.0148,0.0136,0.0014,0.002,0.0023,0.0048,0.0378,0.0024,0.0208,0
38,0.135,0.135,0.015,0.019,0.024,0.048,0.396,0.025,0.203,0,smoothed,2009,,0.0135,0.0135,0.0015,0.0019,0.0024,0.0048,0.0396,0.0025,0.0203,0
39,0.131,0.129,0.017,0.02,0.026,0.042,0.403,0.025,0.208,0,smoothed,2009,,0.0131,0.0129,0.0017,0.002,0.0026,0.0042,0.0403,0.0025,0.0208,0
40,0.131,0.124,0.018,0.019,0.026,0.044,0.415,0.023,0.2,0,smoothed,2009,,0.0131,0.0124,0.0018,0.0019,0.0026,0.0044,0.0415,0.0023,0.02,0
41,0.123,0.124,0.019,0.017,0.028,0.043,0.429,0.023,0.194,0,smoothed,2009,,0.0123,0.0124,0.0019,0.0017,0.0028,0.0043,0.0429,0.0023,0.0194,0
42,0.111,0.128,0.018,0.012,0.026,0.047,0.435,0.021,0.202,0,smoothed,2009,,0.0111,0.0128,0.0018,0.0012,0.0026,0.0047,0.0435,0.0021,0.0202,0
43,0.099,0.127,0.017,0.011,0.029,0.043,0.455,0.02,0.198,0,smoothed,2009,,0.0099,0.0127,0.0017,0.0011,0.0029,0.0043,0.0455,0.002,0.0198,0
44,0.091,0.124,0.014,0.012,0.029,0.047,0.468,0.018,0.197,0,smoothed,2009,,0.0091,0.0124,0.0014,0.0012,0.0029,0.0047,0.0468,0.0018,0.0197,0
45,0.082,0.125,0.015,0.014,0.032,0.04,0.486,0.02,0.186,0,smoothed,2009,,0.0082,0.0125,0.0015,0.0014,0.0032,0.004,0.0486,0.002,0.0186,0
46,0.081,0.14,0.013,0.014,0.029,0.044,0.481,0.021,0.177,0,smoothed,2009,,0.0081,0.014,0.0013,0.0014,0.0029,0.0044,0.0481,0.0021,0.0177,0
47,0.086,0.139,0.011,0.013,0.029,0.047,0.482,0.022,0.171,0,smoothed,2009,,0.0086,0.0139,0.0011,0.0013,0.0029,0.0047,0.0482,0.0022,0.0171,0
48,0.094,0.138,0.01,0.01,0.027,0.06,0.482,0.023,0.156,0,smoothed,2009,,0.0094,0.0138,0.001,0.001,0.0027,0.006,0.0482,0.0023,0.0156,0
49,0.088,0.128,0.01,0.013,0.033,0.056,0.488,0.023,0.16,0,smoothed,2009,,0.0088,0.0128,0.001,0.0013,0.0033,0.0056,0.0488,0.0023,0.016,0
50,0.081,0.135,0.012,0.012,0.033,0.051,0.497,0.022,0.157,0,smoothed,2009,,0.0081,0.0135,0.0012,0.0012,0.0033,0.0051,0.0497,0.0022,0.0157,0
51,0.074,0.136,0.014,0.013,0.035,0.043,0.516,0.018,0.152,0,smoothed,2009,,0.0074,0.0136,0.0014,0.0013,0.0035,0.0043,0.0516,0.0018,0.0152,0
52,0.071,0.132,0.013,0.01,0.033,0.043,0.528,0.017,0.153,0,smoothed,2009,,0.0071,0.0132,0.0013,0.001,0.0033,0.0043,0.0528,0.0017,0.0153,0
53,0.072,0.129,0.01,0.01,0.032,0.044,0.529,0.018,0.155,0,smoothed,2009,,0.0072,0.0129,0.001,0.001,0.0032,0.0044,0.0529,0.0018,0.0155,0
54,0.068,0.123,0.009,0.009,0.032,0.048,0.527,0.02,0.164,0,smoothed,2009,,0.0068,0.0123,0.0009,0.0009,0.0032,0.0048,0.0527,0.002,0.0164,0
55,0.064,0.116,0.01,0.01,0.033,0.044,0.549,0.019,0.155,0,smoothed,2009,,0.0064,0.0116,0.001,0.001,0.0033,0.0044,0.0549,0.0019,0.0155,0
56,0.062,0.113,0.01,0.01,0.037,0.046,0.551,0.019,0.151,0,smoothed,2009,,0.0062,0.0113,0.001,0.001,0.0037,0.0046,0.0551,0.0019,0.0151,0
