Percentile,Medicaid,Medicare,Medicare+Medicaid,CHIP,Military,Direct Purchase,Employer,Other,Uninsured,Subsidized Exchange,type,year,,Medicaid,Medicare,Medicare+Medicaid,CHIP,Military,Direct Purchase,Employer,Other,Uninsured,Subsidized Exchange
33,0.185,0.177,0.019,0.011,0.022,0.035,0.397,0.001,0.121,0.031,smoothed,2020,,0.037,0.0354,0.0038,0.0022,0.0044,0.007,0.0794,0.0002,0.0242,0.0062
34,0.17,0.173,0.013,0.012,0.02,0.04,0.425,0.002,0.116,0.029,smoothed,2020,,0.034,0.0346,0.0026,0.0024,0.004,0.008,0.085,0.0004,0.0232,0.0058
35,0.154,0.175,0.013,0.013,0.02,0.035,0.439,0.002,0.123,0.026,smoothed,2020,,0.0308,0.035,0.0026,0.0026,0.004,0.007,0.0878,0.0004,0.0246,0.0052
36,0.144,0.175,0.014,0.01,0.019,0.034,0.456,0.004,0.116,0.029,smoothed,2020,,0.0288,0.035,0.0028,0.002,0.0038,0.0068,0.0912,0.0008,0.0232,0.0058
37,0.15,0.162,0.013,0.011,0.03,0.041,0.441,0.004,0.12,0.025,smoothed,2020,,0.03,0.0324,0.0026,0.0022,0.006,0.0082,0.0882,0.0008,0.024,0.005
38,0.156,0.157,0.014,0.01,0.037,0.048,0.437,0.003,0.111,0.026,smoothed,2020,,0.0312,0.0314,0.0028,0.002,0.0074,0.0096,0.0874,0.0006,0.0222,0.0052
39,0.148,0.159,0.013,0.013,0.034,0.051,0.447,0.003,0.108,0.023,smoothed,2020,,0.0296,0.0318,0.0026,0.0026,0.0068,0.0102,0.0894,0.0006,0.0216,0.0046
40,0.138,0.162,0.012,0.01,0.029,0.043,0.468,0.001,0.111,0.025,smoothed,2020,,0.0276,0.0324,0.0024,0.002,0.0058,0.0086,0.0936,0.0002,0.0222,0.005
41,0.138,0.162,0.01,0.009,0.023,0.036,0.484,0.001,0.11,0.029,smoothed,2020,,0.0276,0.0324,0.002,0.0018,0.0046,0.0072,0.0968,0.0002,0.022,0.0058
42,0.14,0.152,0.012,0.006,0.026,0.034,0.498,0,0.105,0.027,smoothed,2020,,0.028,0.0304,0.0024,0.0012,0.0052,0.0068,0.0996,0,0.021,0.0054
43,0.138,0.16,0.014,0.005,0.028,0.036,0.499,0.002,0.092,0.026,smoothed,2020,,0.0276,0.032,0.0028,0.001,0.0056,0.0072,0.0998,0.0004,0.0184,0.0052
44,0.132,0.162,0.014,0.006,0.028,0.033,0.514,0.003,0.086,0.022,smoothed,2020,,0.0264,0.0324,0.0028,0.0012,0.0056,0.0066,0.1028,0.0006,0.0172,0.0044
45,0.121,0.171,0.011,0.006,0.028,0.035,0.517,0.004,0.086,0.021,smoothed,2020,,0.0242,0.0342,0.0022,0.0012,0.0056,0.007,0.1034,0.0008,0.0172,0.0042
46,0.114,0.166,0.008,0.009,0.029,0.035,0.526,0.002,0.093,0.019,smoothed,2020,,0.0228,0.0332,0.0016,0.0018,0.0058,0.007,0.1052,0.0004,0.0186,0.0038
47,0.111,0.167,0.007,0.008,0.031,0.038,0.526,0.003,0.088,0.021,smoothed,2020,,0.0222,0.0334,0.0014,0.0016,0.0062,0.0076,0.1052,0.0006,0.0176,0.0042
48,0.113,0.166,0.007,0.012,0.03,0.039,0.521,0.004,0.079,0.029,smoothed,2020,,0.0226,0.0332,0.0014,0.0024,0.006,0.0078,0.1042,0.0008,0.0158,0.0058
49,0.114,0.166,0.01,0.008,0.026,0.039,0.525,0.004,0.076,0.032,smoothed,2020,,0.0228,0.0332,0.002,0.0016,0.0052,0.0078,0.105,0.0008,0.0152,0.0064
50,0.103,0.16,0.009,0.008,0.025,0.043,0.535,0.004,0.081,0.033,smoothed,2020,,0.0206,0.032,0.0018,0.0016,0.005,0.0086,0.107,0.0008,0.0162,0.0066
51,0.098,0.154,0.01,0.006,0.033,0.042,0.551,0.001,0.073,0.031,smoothed,2020,,0.0196,0.0308,0.002,0.0012,0.0066,0.0084,0.1102,0.0002,0.0146,0.0062
52,0.093,0.157,0.009,0.005,0.027,0.049,0.552,0.003,0.076,0.029,smoothed,2020,,0.0186,0.0314,0.0018,0.001,0.0054,0.0098,0.1104,0.0006,0.0152,0.0058
53,0.089,0.153,0.009,0.004,0.033,0.048,0.558,0.001,0.078,0.027,smoothed,2020,,0.0178,0.0306,0.0018,0.0008,0.0066,0.0096,0.1116,0.0002,0.0156,0.0054
54,0.079,0.152,0.006,0.003,0.034,0.044,0.575,0.002,0.082,0.023,smoothed,2020,,0.0158,0.0304,0.0012,0.0006,0.0068,0.0088,0.115,0.0004,0.0164,0.0046
55,0.072,0.151,0.005,0.005,0.04,0.041,0.59,0.001,0.077,0.017,smoothed,2020,,0.0144,0.0302,0.001,0.001,0.008,0.0082,0.118,0.0002,0.0154,0.0034
56,0.067,0.152,0.006,0.006,0.035,0.037,0.615,0.002,0.068,0.014,smoothed,2020,,0.0134,0.0304,0.0012,0.0012,0.007,0.0074,0.123,0.0004,0.0136,0.0028
57,0.07,0.153,0.006,0.006,0.032,0.04,0.613,0.002,0.067,0.01,smoothed,2020,,0.014,0.0306,0.0012,0.0012,0.0064,0.008,0.1226,0.0004,0.0134,0.002
58,0.072,0.139,0.006,0.006,0.032,0.036,0.625,0.003,0.067,0.014,smoothed,2020,,0.0144,0.0278,0.0012,0.0012,0.0064,0.0072,0.125,0.0006,0.0134,0.0028
59,0.07,0.145,0.005,0.005,0.029,0.034,0.627,0.002,0.066,0.016,smoothed,2020,,0.014,0.029,0.001,0.001,0.0058,0.0068,0.1254,0.0004,0.0132,0.0032
60,0.063,0.138,0.005,0.004,0.028,0.037,0.637,0.002,0.067,0.021,smoothed,2020,,0.0126,0.0276,0.001,0.0008,0.0056,0.0074,0.1274,0.0004,0.0134,0.0042
61,0.056,0.152,0.005,0.003,0.028,0.043,0.633,0.001,0.06,0.018,smoothed,2020,,0.0112,0.0304,0.001,0.0006,0.0056,0.0086,0.1266,0.0002,0.012,0.0036
62,0.052,0.152,0.006,0.003,0.032,0.048,0.626,0.001,0.064,0.016,smoothed,2020,,0.0104,0.0304,0.0012,0.0006,0.0064,0.0096,0.1252,0.0002,0.0128,0.0032
63,0.05,0.164,0.009,0.004,0.031,0.045,0.621,0,0.065,0.01,smoothed,2020,,0.01,0.0328,0.0018,0.0008,0.0062,0.009,0.1242,0,0.013,0.002
64,0.047,0.164,0.01,0.006,0.028,0.04,0.636,0,0.06,0.01,smoothed,2020,,0.0094,0.0328,0.002,0.0012,0.0056,0.008,0.1272,0,0.012,0.002
65,0.043,0.163,0.008,0.004,0.028,0.039,0.649,0,0.055,0.011,smoothed,2020,,0.0086,0.0326,0.0016,0.0008,0.0056,0.0078,0.1298,0,0.011,0.0022
66,0.042,0.161,0.006,0.002,0.032,0.037,0.652,0,0.055,0.013,smoothed,2020,,0.0084,0.0322,0.0012,0.0004,0.0064,0.0074,0.1304,0,0.011,0.0026
67,0.038,0.151,0.005,0,0.036,0.044,0.657,0,0.056,0.012,smoothed,2020,,0.0076,0.0302,0.001,0,0.0072,0.0088,0.1314,0,0.0112,0.0024
68,0.037,0.146,0.007,0,0.032,0.044,0.669,0,0.054,0.011,smoothed,2020,,0.0074,0.0292,0.0014,0,0.0064,0.0088,0.1338,0,0.0108,0.0022
69,0.037,0.141,0.007,0,0.034,0.046,0.677,0,0.047,0.011,smoothed,2020,,0.0074,0.0282,0.0014,0,0.0068,0.0092,0.1354,0,0.0094,0.0022
70,0.035,0.146,0.006,0.001,0.031,0.043,0.683,0,0.045,0.011,smoothed,2020,,0.007,0.0292,0.0012,0.0002,0.0062,0.0086,0.1366,0,0.009,0.0022
71,0.038,0.146,0.005,0.001,0.03,0.043,0.678,0,0.047,0.011,smoothed,2020,,0.0076,0.0292,0.001,0.0002,0.006,0.0086,0.1356,0,0.0094,0.0022
72,0.034,0.139,0.006,0.003,0.022,0.045,0.7,0,0.041,0.01,smoothed,2020,,0.0068,0.0278,0.0012,0.0006,0.0044,0.009,0.14,0,0.0082,0.002
73,0.035,0.141,0.005,0.003,0.019,0.046,0.692,0.001,0.046,0.013,smoothed,2020,,0.007,0.0282,0.001,0.0006,0.0038,0.0092,0.1384,0.0002,0.0092,0.0026
74,0.031,0.146,0.005,0.003,0.02,0.043,0.7,0.001,0.041,0.012,smoothed,2020,,0.0062,0.0292,0.001,0.0006,0.004,0.0086,0.14,0.0002,0.0082,0.0024
75,0.032,0.146,0.004,0.001,0.025,0.041,0.693,0.001,0.047,0.012,smoothed,2020,,0.0064,0.0292,0.0008,0.0002,0.005,0.0082,0.1386,0.0002,0.0094,0.0024
76,0.027,0.141,0.004,0.002,0.028,0.038,0.715,0,0.036,0.009,smoothed,2020,,0.0054,0.0282,0.0008,0.0004,0.0056,0.0076,0.143,0,0.0072,0.0018
77,0.028,0.143,0.003,0.001,0.027,0.035,0.721,0,0.035,0.007,smoothed,2020,,0.0056,0.0286,0.0006,0.0002,0.0054,0.007,0.1442,0,0.007,0.0014
78,0.024,0.153,0.004,0.002,0.026,0.033,0.721,0,0.031,0.007,smoothed,2020,,0.0048,0.0306,0.0008,0.0004,0.0052,0.0066,0.1442,0,0.0062,0.0014
79,0.028,0.152,0.005,0.002,0.029,0.03,0.713,0,0.036,0.006,smoothed,2020,,0.0056,0.0304,0.001,0.0004,0.0058,0.006,0.1426,0,0.0072,0.0012
80,0.029,0.148,0.006,0.002,0.033,0.033,0.705,0,0.035,0.009,smoothed,2020,,0.0058,0.0296,0.0012,0.0004,0.0066,0.0066,0.141,0,0.007,0.0018
81,0.029,0.15,0.005,0.001,0.028,0.03,0.714,0,0.032,0.01,smoothed,2020,,0.0058,0.03,0.001,0.0002,0.0056,0.006,0.1428,0,0.0064,0.002
82,0.029,0.156,0.004,0.001,0.027,0.034,0.71,0,0.028,0.01,smoothed,2020,,0.0058,0.0312,0.0008,0.0002,0.0054,0.0068,0.142,0,0.0056,0.002
83,0.028,0.15,0.004,0.001,0.02,0.034,0.726,0,0.029,0.009,smoothed,2020,,0.0056,0.03,0.0008,0.0002,0.004,0.0068,0.1452,0,0.0058,0.0018
84,0.029,0.141,0.004,0.001,0.024,0.034,0.726,0,0.031,0.01,smoothed,2020,,0.0058,0.0282,0.0008,0.0002,0.0048,0.0068,0.1452,0,0.0062,0.002
85,0.023,0.137,0.005,0.001,0.018,0.029,0.746,0,0.031,0.008,smoothed,2020,,0.0046,0.0274,0.001,0.0002,0.0036,0.0058,0.1492,0,0.0062,0.0016
86,0.018,0.144,0.005,0.001,0.024,0.03,0.741,0.001,0.028,0.008,smoothed,2020,,0.0036,0.0288,0.001,0.0002,0.0048,0.006,0.1482,0.0002,0.0056,0.0016
87,0.017,0.147,0.005,0.001,0.025,0.037,0.732,0.001,0.03,0.006,smoothed,2020,,0.0034,0.0294,0.001,0.0002,0.005,0.0074,0.1464,0.0002,0.006,0.0012
88,0.018,0.147,0.005,0.001,0.026,0.041,0.723,0.001,0.032,0.007,smoothed,2020,,0.0036,0.0294,0.001,0.0002,0.0052,0.0082,0.1446,0.0002,0.0064,0.0014
89,0.022,0.149,0.005,0.001,0.027,0.043,0.713,0,0.031,0.008,smoothed,2020,,0.0044,0.0298,0.001,0.0002,0.0054,0.0086,0.1426,0,0.0062,0.0016
90,0.023,0.151,0.005,0.001,0.032,0.038,0.719,0,0.023,0.008,smoothed,2020,,0.0046,0.0302,0.001,0.0002,0.0064,0.0076,0.1438,0,0.0046,0.0016
91,0.022,0.152,0.004,0.001,0.036,0.04,0.718,0,0.02,0.007,smoothed,2020,,0.0044,0.0304,0.0008,0.0002,0.0072,0.008,0.1436,0,0.004,0.0014
92,0.018,0.143,0.004,0.001,0.032,0.038,0.737,0,0.018,0.007,smoothed,2020,,0.0036,0.0286,0.0008,0.0002,0.0064,0.0076,0.1474,0,0.0036,0.0014
93,0.017,0.146,0.004,0.002,0.029,0.038,0.738,0.001,0.022,0.005,smoothed,2020,,0.0034,0.0292,0.0008,0.0004,0.0058,0.0076,0.1476,0.0002,0.0044,0.001
94,0.018,0.14,0.004,0.002,0.027,0.036,0.742,0.001,0.022,0.007,smoothed,2020,,0.0036,0.028,0.0008,0.0004,0.0054,0.0072,0.1484,0.0002,0.0044,0.0014
95,0.017,0.152,0.002,0.001,0.029,0.041,0.726,0.001,0.025,0.006,smoothed,2020,,0.0034,0.0304,0.0004,0.0002,0.0058,0.0082,0.1452,0.0002,0.005,0.0012
96,0.014,0.154,0.003,0.001,0.025,0.042,0.73,0,0.023,0.007,smoothed,2020,,0.0028,0.0308,0.0006,0.0002,0.005,0.0084,0.146,0,0.0046,0.0014
97,0.015,0.169,0.004,0.001,0.02,0.044,0.718,0,0.024,0.005,smoothed,2020,,0.003,0.0338,0.0008,0.0002,0.004,0.0088,0.1436,0,0.0048,0.001
98,0.015,0.158,0.004,0.002,0.017,0.046,0.728,0,0.023,0.006,smoothed,2020,,0.003,0.0316,0.0008,0.0004,0.0034,0.0092,0.1456,0,0.0046,0.0012
99,0.015,0.146,0.002,0.003,0.017,0.054,0.728,0,0.026,0.007,smoothed,2020,,0.003,0.0292,0.0004,0.0006,0.0034,0.0108,0.1456,0,0.0052,0.0014
100,0.014,0.13,0.001,0.003,0.019,0.059,0.742,0,0.024,0.007,smoothed,2020,,0.0028,0.026,0.0002,0.0006,0.0038,0.0118,0.1484,0,0.0048,0.0014
